calendar_date,day_of_week,holiday,quantity
2016/1/1,5,NewYearsDay,282
2016/1/2,6,NewYearsDay,344
2016/1/3,7,NewYearsDay,378
2016/1/4,1,,253
2016/1/5,2,,279
2016/1/6,3,,264
2016/1/7,4,,266
2016/1/8,5,,277
2016/1/9,6,,349
2016/1/10,7,,327
2016/1/11,1,,295
2016/1/12,2,,306
2016/1/13,3,,318
2016/1/14,4,,333
2016/1/15,5,,341
2016/1/16,6,,377
2016/1/17,7,,373
2016/1/18,1,,348
2016/1/19,2,,319
2016/1/20,3,,361
2016/1/21,4,,369
2016/1/22,5,,358
2016/1/23,6,,384
2016/1/24,7,,387
2016/1/25,1,,337
2016/1/26,2,,353
2016/1/27,3,,357
2016/1/28,4,,368
2016/1/29,5,,383
2016/1/30,6,,385
2016/1/31,7,,415
2016/2/1,1,,391
2016/2/2,2,,345
2016/2/3,3,,362
2016/2/4,4,,389
2016/2/5,5,,371
2016/2/6,6,,425
2016/2/7,7,CNYEVE,519
2016/2/8,1,CNY,468
2016/2/9,2,CNY,425
2016/2/10,3,CNY,455
2016/2/11,4,CNY,472
2016/2/12,5,CNY,492
2016/2/13,6,CNY,514
2016/2/14,7,,390
2016/2/15,1,,379
2016/2/16,2,,364
2016/2/17,3,,404
2016/2/18,4,,406
2016/2/19,5,,402
2016/2/20,6,,431
2016/2/21,7,,415
2016/2/22,1,,368
2016/2/23,2,,409
2016/2/24,3,,403
2016/2/25,4,,364
2016/2/26,5,,378
2016/2/27,6,,406
2016/2/28,7,,425
2016/2/29,1,,384
2016/3/1,2,,427
2016/3/2,3,,381
2016/3/3,4,,403
2016/3/4,5,,412
2016/3/5,6,,425
2016/3/6,7,,434
2016/3/7,1,,369
2016/3/8,2,,372
2016/3/9,3,,372
2016/3/10,4,,399
2016/3/11,5,,398
2016/3/12,6,,437
2016/3/13,7,,414
2016/3/14,1,,412
2016/3/15,2,,389
2016/3/16,3,,377
2016/3/17,4,,397
2016/3/18,5,,384
2016/3/19,6,,439
2016/3/20,7,,416
2016/3/21,1,,384
2016/3/22,2,,406
2016/3/23,3,,414
2016/3/24,4,,398
2016/3/25,5,,412
2016/3/26,6,,404
2016/3/27,7,,429
2016/3/28,1,,370
2016/3/29,2,,366
2016/3/30,3,,386
2016/3/31,4,,379
2016/4/1,5,,395
2016/4/2,6,QingMing,488
2016/4/3,7,QingMing,483
2016/4/4,1,QingMing,413
2016/4/5,2,,408
2016/4/6,3,,396
2016/4/7,4,,391
2016/4/8,5,,362
2016/4/9,6,,415
2016/4/10,7,,407
2016/4/11,1,,385
2016/4/12,2,,404
2016/4/13,3,,364
2016/4/14,4,,376
2016/4/15,5,,404
2016/4/16,6,,412
2016/4/17,7,,439
2016/4/18,1,,376
2016/4/19,2,,392
2016/4/20,3,,385
2016/4/21,4,,384
2016/4/22,5,,362
2016/4/23,6,,426
2016/4/24,7,,439
2016/4/25,1,,378
2016/4/26,2,,367
2016/4/27,3,,403
2016/4/28,4,,370
2016/4/29,5,,375
2016/4/30,6,LaborsDay,484
2016/5/1,7,LaborsDay,499
2016/5/2,1,LaborsDay,422
2016/5/3,2,,386
2016/5/4,3,,370
2016/5/5,4,,373
2016/5/6,5,,358
2016/5/7,6,,408
2016/5/8,7,,429
2016/5/9,1,,381
2016/5/10,2,,384
2016/5/11,3,,367
2016/5/12,4,,356
2016/5/13,5,,363
2016/5/14,6,,418
2016/5/15,7,,408
2016/5/16,1,,379
2016/5/17,2,,383
2016/5/18,3,,353
2016/5/19,4,,368
2016/5/20,5,,344
2016/5/21,6,,425
2016/5/22,7,,392
2016/5/23,1,,365
2016/5/24,2,,359
2016/5/25,3,,383
2016/5/26,4,,380
2016/5/27,5,,386
2016/5/28,6,,412
2016/5/29,7,,393
2016/5/30,1,,343
2016/5/31,2,,388
2016/6/1,3,Children's Day,415
2016/6/2,4,,359
2016/6/3,5,,359
2016/6/4,6,,410
2016/6/5,7,,369
2016/6/6,1,,354
2016/6/7,2,,360
2016/6/8,3,,383
2016/6/9,4,DragonBoatFestival,377
2016/6/10,5,DragonBoatFestival,383
2016/6/11,6,DragonBoatFestival,383
2016/6/12,7,,382
2016/6/13,1,,338
2016/6/14,2,,343
2016/6/15,3,,337
2016/6/16,4,,358
2016/6/17,5,,356
2016/6/18,6,,407
2016/6/19,7,,373
2016/6/20,1,,368
2016/6/21,2,,344
2016/6/22,3,,333
2016/6/23,4,,380
2016/6/24,5,,351
2016/6/25,6,,409
2016/6/26,7,,398
2016/6/27,1,,381
2016/6/28,2,,358
2016/6/29,3,,357
2016/6/30,4,,369
2016/7/1,5,,375
2016/7/2,6,,377
2016/7/3,7,,412
2016/7/4,1,,331
2016/7/5,2,,360
2016/7/6,3,,363
2016/7/7,4,,344
2016/7/8,5,,381
2016/7/9,6,,415
2016/7/10,7,,382
2016/7/11,1,,379
2016/7/12,2,,332
2016/7/13,3,,333
2016/7/14,4,,342
2016/7/15,5,,354
2016/7/16,6,,387
2016/7/17,7,,422
2016/7/18,1,,361
2016/7/19,2,,354
2016/7/20,3,,379
2016/7/21,4,,353
2016/7/22,5,,366
2016/7/23,6,,394
2016/7/24,7,,376
2016/7/25,1,,345
2016/7/26,2,,358
2016/7/27,3,,376
2016/7/28,4,,340
2016/7/29,5,,338
2016/7/30,6,,404
2016/7/31,7,,424
2016/8/1,1,,373
2016/8/2,2,,356
2016/8/3,3,,340
2016/8/4,4,,366
2016/8/5,5,,363
2016/8/6,6,,388
2016/8/7,7,,392
2016/8/8,1,,380
2016/8/9,2,,359
